RSc0338	H16_A0317
RSc2663	H16_A3090
RSc1331	H16_A2263
RSc0001	H16_A3747
RSc0485	H16_A0476
RSc2662	H16_B1233
RSc0482	H16_A0473
RSc1330	H16_A2264
RSc2661	H16_A2074
RSc2660	H16_B1076
RSc2660	H16_A1122
RSc0483	H16_A0474
RSc1336	H16_A2247
RSc2667	H16_A3096
RSc0488	H16_A0480
RSc0004	H16_A3744
RSc0005	H16_A0103
RSc1335	H16_A2249
RSc2666	H16_A3094
RSc0489	H16_A0481
RSc0486	H16_A0478
RSc1334	H16_A2251
RSc0002	H16_A3746
RSc2665	H16_A3092
RSc0487	H16_A0479
RSc1333	H16_A2261
RSc0003	H16_A3745
RSc2664	H16_A3091
RSc0491	H16_A0483
RSc2670	H16_A3099
RSc0490	H16_A0482
RSc1329	H16_B1845
RSc2659	H16_A1124
RSc1328	H16_A2265
RSc1327	H16_A2266
RSc0479	H16_A0090
RSc0479	H16_A0470
RSc2658	H16_A1125
RSc1326	H16_A2267
RSc2657	H16_A1126
RSc1321	H16_B1640
RSc0473	H16_A0460
RSc2651	H16_A1131
RSc0474	H16_A0461
RSc1320	H16_B1641
RSc0471	H16_A2718
RSc2650	H16_A1132
RSc0472	H16_A0459
RSc0477	H16_A0465
RSc2656	H16_A1127
RSc1325	H16_A2268
RSc0478	H16_A0466
RSc1324	H16_A1426
RSc1324	H16_B1637
RSc2655	H16_A1128
RSc0475	H16_A0462
RSc1323	H16_B1638
RSc1322	H16_B1639
RSc0476	H16_A0464
RSc0476	H16_B1773
RSc2653	H16_A1129
RSc0480	H16_A0471
RSc0481	H16_A0771
RSc0481	H16_A0472
RSc2649	H16_A1133
RSc1318	H16_B1643
RSc1317	H16_A2269
RSc2648	H16_A3019
RSc2647	H16_A0695
RSc2647	H16_A3017
RSc0468	H16_A0455
RSc1316	H16_A2270
RSc2646	H16_A3018
RSc1799	H16_B2235
RSc0469	H16_A0456
RSc1315	H16_A2271
RSc1319	H16_A1425
RSc1319	H16_B1642
RSc1310	H16_A2276
RSc0462	H16_A0449
RSc2641	H16_A1136
RSc1794	H16_B1603
RSc0463	H16_A0450
RSc1793	H16_B1602
RSc0460	H16_A0447
RSc1792	H16_B1601
RSc0461	H16_A0448
RSc1791	H16_B1600
RSc1798	H16_B0145
RSc1798	H16_B2234
RSc0466	H16_A0453
RSc1314	H16_A2272
RSc2645	H16_A0044
RSc2644	H16_A3015
RSc1313	H16_A2273
RSc1797	H16_B2233
RSc2643	H16_A1134
RSc0464	H16_A0451
RSc1312	H16_A2274
RSc1311	H16_A2275
RSc2642	H16_A1135
RSc0465	H16_A0452
RSc1795	H16_B1604
RSc0470	H16_A0458
RSp0070	H16_B1471
RSp0076	H16_A1441
RSp0077	H16_A1442
RSp0078	H16_B2297
RSp0078	RALH11891
RSp0079	H16_B0054
RSp0079	H16_A1538
RSp1392	H16_B0254
RSc3159	H16_A3002
RSp1393	H16_B0253
RSp1390	H16_B0256
RSp0065	H16_A2505
RSp0065	H16_B1956
RSc3156	H16_B1929
RSc3156	H16_B2205
RSp1394	H16_B0252
RSp1394	H16_B2366
RSc3157	H16_A0975
RSc3158	H16_A0973
RSp0069	H16_B1195
RSp0069	H16_B2470
RSp0069	H16_B1745
RSp1399	H16_A2425
RSp1399	H16_A0403
RSc3161	H16_B2299
RSp0096	H16_B2107
RSp0080	H16_B0781
RSp0081	H16_B0782
RSc3134	H16_A3552
RSc3135	H16_A2063
RSp0086	H16_B2107
RSc2291	H16_A0991
RSc2291	H16_A2668
RSc3143	H16_B2327
RSc3126	H16_B0097
RSc0099	H16_A2181
RSc3127	H16_B0096
RSc2277	H16_A0768
RSc3128	H16_B1939
RSc3128	H16_A2747
RSc3128	H16_B1879
RSc3128	H16_B1960
RSc3128	H16_A1495
RSc0097	H16_A2183
RSc2276	H16_B2204
RSc0098	H16_A2182
RSc3129	H16_B0142
RSc2275	H16_B2203
RSc3122	H16_A1255
RSc3122	H16_A3547
RSc3122	H16_B1980
RSp0032	H16_A2461
RSp0033	H16_A2460
RSp0036	H16_A2458
RSp1367	PHG253
RSp0037	H16_A2457
RSp1368	PHG252
RSc3131	H16_A1681
RSc3131	H16_A1682
RSp0034	H16_A3286
RSp1365	H16_A1593
RSp0035	H16_A2459
RSp1366	PHG254
RSp0038	H16_A2456
RSp1369	PHG251
RSp0039	H16_A2455
RSc2282	H16_B0507
RSc3119	H16_A0963
RSc3119	H16_B1977
RSc2267	PHG031
RSc2267	PHG030
RSc3115	H16_A3544
RSc0088	H16_A0250
RSc0089	H16_A0249
RSc3116	H16_A3545
RSc0086	H16_A0252
RSc0087	H16_A0251
RSc2264	RALH1_K20888
RSc3111	H16_A3540
RSp1352	H16_A2664
RSp1352	H16_B1979
RSc3112	H16_A3541
RSc3113	H16_A3542
RSc2268	PHG084
RSc2268	PHG032
RSp0020	H16_A0530
RSc3114	H16_A3543
RSc0091	H16_A0246
RSc2270	H16_B2198
RSc0092	H16_A0245
RSp1357	H16_B0086
RSp1357	H16_B0708
RSp1357	H16_B0387
RSc0090	H16_A0247
RSp0024	H16_B1117
RSp0029	PHG180
RSp0029	H16_B0227
RSp0029	H16_B2256
RSc2274	H16_B2202
RSc2273	H16_B2201
RSc0093	H16_A0244
RSc2272	H16_B2200
RSc2271	H16_B2199
RSp1359	H16_B1141
RSp1359	H16_B1972
RSc3108	H16_A3537
RSc3109	H16_A3538
RSp1381	H16_B1008
RSc3104	H16_B1628
RSc3104	H16_A3531
RSc0077	H16_A3695
RSc2256	H16_B1231
RSc2255	H16_B2545
RSc2255	H16_A2154
RSc2255	H16_B0167
RSc2255	H16_A1232
RSc3105	H16_A3532
RSc0078	H16_A3694
RSp0051	H16_A1551
RSc3106	H16_A3535
RSc2254	H16_B0198
RSc2254	H16_A1331
RSc2254	PHG388
RSc0075	H16_A3697
RSc2253	H16_A1332
RSc2253	PHG387
RSc2253	H16_B0199
RSp1380	RALH11855
RSp1380	H16_B1765
RSc3107	H16_A3536
RSc0076	H16_A3696
RSp1385	H16_B0171
RSp1383	H16_A2245
RSp1383	H16_B0527
RSc3102	H16_A3530
RSp0052	H16_B1989
RSc3103	H16_B1083
RSp1387	H16_A1853
RSc3110	H16_A3539
RSc2263	H16_A0057
RSc0085	H16_A0253
RSc2262	H16_A0770
RSc2261	H16_A0771
RSc2261	H16_A0472
RSc0082	H16_B2123
RSc2260	H16_A0045
RSc2260	H16_A0475
RSc2260	H16_A2756
RSc2260	H16_A3308
RSc2260	H16_B1810
RSc0083	H16_B1651
RSc1398	H16_A2060
RSc0066	H16_A3704
RSp1370	PHG250
RSc1397	H16_A2061
RSc0067	H16_A3703
RSp1371	PHG249
RSc2243	H16_A1766
RSc1395	H16_A2064
RSc0065	H16_A3705
RSc2242	H16_B2286
RSc2249	H16_A0535
RSc2249	H16_B2288
RSc0068	H16_A3702
RSp1372	PHG248
RSc1399	H16_A2059
RSc0069	H16_A3701
RSc2246	H16_B0807
RSp1373	PHG247
RSc0070	H16_A3700
RSp0048	H16_B0641
RSp0045	H16_A3622
RSp1377	H16_A1613
RSp1377	H16_B1578
RSp1377	H16_B1299
RSc2252	H16_B0200
RSc2251	H16_B2289
RSc0074	H16_A3698
RSc2250	H16_B1583
RSc2250	H16_A1968
RSc0072	H16_A3699
RSc0976	H16_A2669
RSc1824	H16_A0072
RSc0977	H16_A0991
RSc0977	H16_A2668
RSc1822	H16_B0811
RSc1822	H16_A0923
RSc0975	H16_A2671
RSc1821	H16_A2812
RSc1827	H16_A2456
RSc0978	H16_A2667
RSc0972	H16_A0231
RSc0973	H16_B1634
RSc0971	H16_B0221
RSp0477	H16_B2107
RSp1321	H16_A2664
RSp1321	H16_B1979
RSp1328	H16_B1141
RSp1328	H16_B1972
RSp0478	RALH10047
RSp1326	H16_B0086
RSp1326	H16_B0708
RSp1326	H16_B0387
RSp0461	PHG158
RSc0961	RALH10692
RSc0961	H16_A3206
RSp0468	H16_A3535
RSp1315	H16_A0833
RSp1315	H16_A0859
RSc1802	H16_A0275
RSc0952	H16_A2699
RSp0491	H16_B2409
RSc0950	H16_A2701
RSp0494	H16_A0281
RSc0951	H16_A2700
RSp0492	H16_B2408
RSp0493	H16_B2407
RSp1346	H16_A0833
RSp1346	H16_A0859
RSp0012	H16_B1591
RSp0012	H16_B0107
RSp0017	H16_B2012
RSp0017	H16_A3026
RSp0017	H16_A1543
RSp0017	H16_A2622
RSp0017	H16_B2040
RSp0017	H16_A1709
RSc0943	H16_A2707
RSc0944	H16_A2706
RSc0941	H16_A2710
RSc0942	H16_A2709
RSc0947	H16_A2703
RSc0945	H16_A2705
RSc0946	H16_A2704
RSp0480	H16_A0773
RSp0483	H16_A0689
RSc0940	H16_A2711
RSp0482	H16_A3347
RSp0482	H16_A0687
RSp0003	H16_B0003
RSp1335	H16_B2107
RSp0004	H16_B0004
RSp0488	H16_B1646
RSp0001	H16_B0001
RSp1333	H16_A1744
RSp0002	H16_A3054
RSp0002	H16_B2579
RSp0002	H16_B0002
RSp0002	H16_B2025
RSp0489	H16_B2186
RSp0489	H16_B1647
RSp0489	H16_B1245
RSp0489	H16_A2167
RSp0006	H16_A2752
RSp0009	H16_B1459
RSp0009	H16_A0691
RSp0009	H16_A0297
RSc0949	H16_A2702
RSc0932	H16_A0893
RSc0933	H16_A0894
RSc0931	H16_A0892
RSc0936	H16_A0897
RSc0937	H16_A0898
RSc0934	H16_A0895
RSc0935	H16_A0896
RSp0436	H16_B0314
RSp0436	H16_B1876
RSc0938	H16_A2713
RSc0939	H16_A2712
RSc0921	H16_A0812
RSc0921	H16_B1477
RSc0922	H16_A2125
RSc0922	H16_B2232
RSc0922	H16_A0813
RSc0922	H16_B1479
RSc0920	H16_A0811
RSc0925	H16_A0816
RSc0925	H16_B1332
RSc0926	H16_A1505
RSc0926	H16_A0817
RSc0923	H16_A0814
RSc0924	H16_A0815
RSp0425	H16_B0050
RSp0425	H16_A1999
RSp0423	PHG120
RSp0424	PHG121
RSc0929	H16_A0890
RSc0927	H16_A0818
RSp0427	H16_B0943
RSc0928	H16_A0887
RSc0928	RALH10940
RSc0910	H16_A0799
RSc0911	H16_A0800
RSc0914	H16_A0803
RSc0915	H16_A0804
RSc0912	H16_A0801
RSc0913	H16_A0802
RSp0454	H16_B2107
RSp1305	H16_B2107
RSp1303	H16_A1744
RSc0918	H16_A0808
RSc0919	H16_A0809
RSc0916	H16_A0805
RSc0917	H16_B2378
RSc0917	H16_A0807
RSc0900	H16_A0788
RSc0903	H16_A0791
RSc0904	H16_A0792
RSc0901	H16_A0789
RSc0902	H16_A0790
RSp0447	H16_A0215
RSp0447	H16_A2189
RSc0907	H16_A0795
RSc0908	H16_A0797
RSp0449	H16_B2107
RSc0905	H16_A0793
RSc0906	H16_A0794
RSc0909	H16_A0798
